rssi1,rssi2,rssi3,rssi4,location
-40.0,-51.0,-41.0,-47.0,1
-40.0,-49.85072882651477,-41.0,-47.0,1
-40.0,-48.6630789291843,-41.0,-47.0,1
-40.0,-47.735798011144915,-41.0,-47.5820351210923,1
-40.0,-47.69570135116519,-40.43045233829842,-48.21139100544393,1
-40.0,-47.66863423461094,-40.399689647461464,-48.954651424884304,1
-40.0,-46.77100430851216,-40.37744407641338,-49.01661045674924,1
-40.0,-45.798652967891705,-40.360194381665,-49.06298987906405,1
-39.42755364785454,-45.65726089797145,-40.34621090614547,-49.10023268508175,1
-39.40249512782334,-44.67152225854526,-39.7649641991624,-49.131366846022445,1
-39.38383944202641,-43.65037248238848,-39.748606687784374,-49.15809130513904,1
-39.36905205640824,-43.49599044144621,-39.73501499625887,-49.96475378157681,1
-39.35684164240334,-43.39340959472398,-39.13370937753308,-50.03913636870505,1
-41.42865747553487,-43.75507097225279,-40.6135763211484,-49.38537415117014,1
-41.237270739749846,-45.259846713376184,-42.12889116264659,-50.373226608949665,1
-41.20896809478797,-46.781598765645306,-42.484349306059094,-50.43717519317377,1
-40.9322060833564,-46.985968191623805,-42.79215460101785,-50.594947891782894,1
-40.91523372390298,-48.38778995119242,-42.922384069490015,-50.45534913774224,1
-40.89958632562142,-49.82584048706666,-42.9647973899952,-50.47722655994678,1
-40.885110250907296,-50.073991716427514,-42.98685528617982,-50.60379197348966,1
-40.8716738485663,-50.24287075969603,-43.19062841095831,-50.6440925425099,1
-40.8591586678695,-50.36861643209452,-43.25427136931959,-50.5607669077951,1
-40.84746101570296,-50.53356061987914,-43.225587775098816,-50.555292103905295,1
-40.836491147315016,-50.505870743150034,-43.28485313049692,-50.54937865592873,1
-40.826171670857974,-50.13758408713394,-43.49302000171944,-50.54313019890427,1
-40.89569314517166,-50.14768281320869,-43.57912804531194,-50.65714130276794,1
-40.917584661271796,-49.48527793045399,-43.62328536344443,-51.12474118764046,1
-40.9324992731245,-48.66849358345405,-43.749953538175646,-51.15316744312956,1
-40.94352643602094,-48.56346661618219,-43.81498070664569,-51.88844300057073,1
-40.95210238909227,-48.45608072294759,-43.824505556072744,-51.93963385089636,1
-40.95900484954428,-48.490897817786966,-43.83574929566993,-52.812529292619864,1
-40.964699558278866,-49.14913837678301,-43.752452325251106,-52.91870779598234,1
-41.33043514691527,-49.16756243440011,-43.729020456457505,-52.99474784124613,1
-41.343817459115364,-49.41247497553352,-43.80924289813462,-53.053341185594796,1
-41.866260670350734,-49.42899534085963,-43.851944290731076,-53.10054961975788,1
-41.89108156577788,-49.16281237165828,-44.213547432714606,-53.13976862590614,1
-41.91297953822735,-49.2855706123282,-44.26864956573115,-53.173094859030066,1
-41.932599290145134,-49.33163981060512,-44.31722911125458,-53.14106146499785,1
-41.915074064183685,-48.68676642223516,-44.36057707769599,-53.149092454604734,1
-41.73898683422019,-48.63871301029404,-44.399631580375086,-52.77083716014162,1
-41.727139438479576,-47.799860492127934,-45.029896556881084,-52.762544475719004,1
-41.79384026986636,-47.72466544969859,-45.03335152743965,-52.75300271796189,1
-41.81906235399424,-46.805234040743,-45.06052818871855,-52.052827068984776,1
-41.83758231244929,-46.689641052889904,-45.092361105050955,-51.17438758476196,1
-41.717904798699585,-46.569375380096346,-45.102950098884605,-51.06282236202112,1
-41.70848157477068,-46.52579753610145,-45.07019723914973,-50.986662165371044,1
-41.16980552519707,-46.5699112952811,-44.798536874129226,-50.92950214510341,1
-41.14996053960151,-46.5365128645165,-44.720611066436334,-50.91763463634984,1
-41.13248194342791,-46.21438708129749,-44.08518858289957,-50.89961383816977,1
-41.11665661915606,-46.14419796771798,-43.83781733108227,-51.228678446578996,1
-41.10219598770375,-46.08896168555682,-42.40708217247946,-51.2349991934244,1
-41.08887643896758,-46.04374047958259,-42.189566019478505,-51.92362223666987,1
-41.07652447763204,-46.043039959449544,-41.47360526727928,-51.972407608728545,1
-41.06500364801039,-46.04222404526086,-41.30328712744873,-51.99238225473468,1
-41.054204910866126,-46.03951970269996,-41.2708058360175,-51.76150105170321,1
-41.04403979269287,-45.85962311912007,-41.24564609510043,-51.76233144399711,1
-40.342529425188836,-45.833359264603175,-41.221425538123384,-51.13531911189799,1
-40.31848838910003,-45.15378169093311,-41.19815970577596,-51.09284644714446,1
-39.56821503571478,-44.40625784092553,-41.17592153052396,-51.060562006232395,1
-39.510431696097726,-43.56661451942426,-41.15470079113918,-51.034054112583284,1
-39.46247590147825,-43.46053311526217,-41.134449135326925,-51.02886509880583,1
-39.42031909554201,-42.576139957732344,-40.752383793624986,-51.024921878236036,1
-39.382728391494176,-42.46201645372295,-40.6318860985226,-51.2806763031705,1
-39.34882464430948,-42.3806224121296,-40.454383456789074,-51.28054359847081,1
-39.317960826870085,-42.317521194554594,-40.15482559519592,-52.31239447682058,1
-39.289647260204234,-42.266264915902894,-40.08119446696234,-53.45664218690733,1
-39.258889828129966,-42.22328308500031,-40.01395904450925,-53.608441893129054,1
-39.40517555555145,-42.18639284971121,-39.95263682059136,-53.71297418534898,1
-39.81211426811356,-42.154163734313286,-39.89652414897137,-53.79160835543673,1
-39.813177153540046,-42.12560863932715,-39.793818303158346,-53.85390055915011,1
-39.817969158730676,-42.111765004265116,-39.774749968396875,-53.90500062441981,1
-39.824694149508574,-41.967820688411955,-39.74911132815756,-53.94799829476299,1
-40.45779492628346,-41.92862378557566,-39.721782445600994,-53.97974372336202,1
-40.475667154976705,-41.89436872279026,-39.49141411640123,-53.99869589917132,1
-41.21470658747943,-41.92612901302632,-39.45249863346959,-54.014936835564235,1
-41.26514995289129,-41.92886240068426,-39.83652501648519,-54.028648424277385,1
-41.30750787020095,-43.04941434694004,-40.35178857154653,-54.040264042850374,1
-42.13327487298769,-43.09039276481265,-40.34910841532865,-54.05018304032586,1
-42.216073288602274,-44.73577557151505,-40.92294938847797,-54.058727979468635,1
-42.284736116982444,-46.424787090792904,-40.93234244692077,-54.06615126624465,1
-42.34328661528765,-48.37655976808816,-41.62785107233674,-54.07264966535015,1
-42.394182272812735,-50.1507990821377,-41.652174299433206,-54.078377482037396,1
-42.43907512242116,-50.81420067233738,-41.705060379931595,-54.083456876657365,1
-42.47913406607443,-50.48659193983889,-41.70324095089346,-54.08798558699484,1
-42.5152186506821,-49.4537135408787,-41.36274987355343,-54.092042643055485,1
-42.547980276923454,-48.20036106530276,-40.995688764421864,-54.09569260110263,1
-42.57792473761821,-48.003458837734186,-40.989216046708734,-53.60060791082766,1
-42.60545271298048,-47.877413833418565,-40.978817085938815,-53.590148883947556,1
-42.630887007574756,-47.78210171380659,-41.00449942803029,-52.93242538001841,1
-42.65449145552605,-47.70614417318298,-41.04395044466546,-52.88267706889023,1
-42.67648439545167,-47.643392035805824,-41.07190264393327,-52.89136989586268,1
-42.69704849532056,-47.590164074992565,-41.00370016414796,-52.88518222735888,1
-42.73305167178438,-47.54409354446577,-41.00640258294039,-52.881072476177245,1
-42.72425370014933,-47.43404565411925,-41.04772596125567,-52.695867693657284,1
-42.72317642212291,-47.41998971752617,-41.20818872249511,-52.659649529456864,1
-42.72560712285975,-47.40340666045796,-41.23046116993593,-51.93322860200864,1
-42.7297292596792,-47.147500419309715,-41.51980508645507,-51.88061574429099,1
-42.734655963826114,-46.30020451787918,-41.93928965789876,-51.8431347864092,1
-42.739921380605026,-46.21937923603705,-41.95507266227363,-51.87137154822814,1
-42.745270225134966,-47.423622256528006,-42.632462909300315,-51.87243530114533,1
-42.750559945190155,-49.05835547724365,-42.656375431603436,-52.18924060131608,1
-42.53444225035598,-49.81547396125228,-42.64367695859323,-52.20311391543169,1
-42.53166840951583,-49.95188597357637,-42.62392927740155,-52.14737672644814,1
-42.530702399888376,-49.8193228219089,-42.537865125199716,-52.12953267210046,1
-42.53035591961841,-49.35942414126233,-42.33120125113906,-52.11666340077601,1
-42.53016860414181,-48.589814099233195,-41.75173358209697,-52.10667714864241,1
-42.04235713206602,-47.634264039194846,-41.72251798046758,-52.09857222012472,1
-42.03221128329877,-47.4907421457207,-40.68812618582787,-52.09179157141633,1
-42.022223049967174,-46.5557177752656,-39.47982122108532,-52.085993337951216,1
-42.01238886197733,-46.42756670680803,-38.14431732938842,-52.0809524731126,1
-42.051624002077524,-46.33904391111799,-37.30252354365927,-52.07651285437279,1
-42.07333158758363,-46.26201032794315,-35.88634821999763,-52.072561679661945,1
-42.29202306866253,-46.23159466154331,-34.987553041939066,-52.06901476221088,1
-42.305183341454004,-46.371008403012006,-33.45874114005789,-52.065807590131165,1
-42.31610740490238,-46.27555349799782,-32.390034149048155,-52.3352426732614,1
-42.32561208944634,-46.232289934708184,-30.763724801728262,-52.35562600862311,1
-42.334112748660814,-45.96994619546416,-29.741104719100267,-52.372848056869564,1
-42.34185375083853,-45.93291226812732,-27.80955349375862,-52.38788658729021,1
-42.240117322285705,-45.24976274237718,-25.635835751000418,-52.40129052172649,1
-41.960247879853,-45.21397930010419,-24.928302275241084,-52.41340836132062,1
-41.93125097698898,-45.18737822514567,-23.198281698272446,-52.424479575344535,1
-41.96947579261369,-45.16578534596853,-22.550652153178575,-53.13155220481107,1
